STT,ma_benh,ten_benh,ma_icd10,ky_han_bao_cao,nhom_theo_muc_do_nguy_hiem,Ghi chu
1,BTN001,Bệnh bại liệt,A80,24h,Đặc biệt nguy hiểm,
2,BTN002,Bệnh dịch hạch,A20,24h,Đặc biệt nguy hiểm,
3,BTN003,Bệnh do vi rút cúm A(H5N1),J09,24h,Đặc biệt nguy hiểm,
4,BTN004,Bệnh do vi rút cúm A(H5N6),J09,24h,Đặc biệt nguy hiểm,
5,BTN005,Bệnh do vi rút cúm A(H7N9),J09,24h,Đặc biệt nguy hiểm,
6,BTN006,Bệnh do vi rút cúm A(H9N2),J09,24h,Đặc biệt nguy hiểm,
7,BTN007,Bệnh do vi rút Ebola (Bệnh sốt xuất huyết do vi rút Ebola),A98.4,24h,Đặc biệt nguy hiểm,
8,BTN008,Bệnh do vi rút Lassa (Bệnh sốt xuất huyết do vi rút Lassa),A96.2,24h,Đặc biệt nguy hiểm,
9,BTN009,Bệnh do vi rút Marburg (Bệnh sốt xuất huyết do vi rút Marburg),A98.3,24h,Đặc biệt nguy hiểm,
10,BTN010,Bệnh do vi rút Nipah,B33.8,24h,Đặc biệt nguy hiểm,
11,BTN011,Bệnh nhiễm vi rút tây sông Nin,A92.3,24h,Đặc biệt nguy hiểm,
12,BTN012,Bệnh sốt vàng,A95,24h,Đặc biệt nguy hiểm,
13,BTN013,Hội chứng suy hô hấp cấp tính nặng (SARS),U04,24h,Đặc biệt nguy hiểm,
14,BTN014,Hội chứng viêm đường hô hấp vùng Trung Đông (MERS-CoV),B34.2,24h,Đặc biệt nguy hiểm,
15,BTN015,"Bệnh truyền nhiễm đặc biệt nguy hiểm mới phát sinh, chưa rõ tác nhân gây bệnh",,24h,Đặc biệt nguy hiểm,Bệnh chưa rõ tác nhân - báo cáo trực tiếp trên Hệ thống (chưa có mã ICD-10)
16,BTN016,Bệnh bạch hầu,A36,24h,Đặc biệt nguy hiểm,
17,BTN017,Bệnh nhiễm trùng do não mô cầu,A39,24h,Đặc biệt nguy hiểm,
18,BTN018,Bệnh sởi,B05,24h,Đặc biệt nguy hiểm,
19,BTN019,Bệnh COVID-19,"U07.1, U07.2",48h,Nguy hiểm,
20,BTN020,Bệnh dại,A82,48h,Nguy hiểm,
21,BTN021,Bệnh đậu mùa khỉ (Mpox),B04,48h,Nguy hiểm,
22,BTN022,Bệnh do nhiễm vi rút Chikungunya,A92.0,48h,Nguy hiểm,
23,BTN023,Bệnh do vi rút Hanta,"A98.5, B33.4",48h,Nguy hiểm,
24,BTN024,Bệnh nhiễm vi rút Zika,"A92.5, P35.4",48h,Nguy hiểm,
25,BTN025,Bệnh ho gà,A37,48h,Nguy hiểm,
26,BTN026,Bệnh liên cầu lợn ở người,"A40.8, G00.2",48h,Nguy hiểm,
27,BTN027,Bệnh rubella,"B06, P35.0",48h,Nguy hiểm,
28,BTN028,Bệnh sốt xuất huyết Dengue,A97,48h,Nguy hiểm,
29,BTN029,Bệnh sốt rét,B50 - B54,48h,Nguy hiểm,
30,BTN030,Bệnh tả,A00,48h,Nguy hiểm,
31,BTN031,Bệnh tay - chân - miệng,B08.4,48h,Nguy hiểm,
